user_id,product_id,event_type,quantity,event_at
40,182,view,1,2025-11-09 16:06:51.455646+00:00
56,253,cart,3,2025-11-09 16:19:51.455646+00:00
427,213,view,1,2025-11-09 16:27:51.455646+00:00
233,26,view,1,2025-11-09 16:30:51.455646+00:00
46,244,view,1,2025-11-09 16:41:51.455646+00:00
291,226,view,1,2025-11-09 17:07:51.455646+00:00
411,77,view,1,2025-11-09 17:08:51.455646+00:00
76,255,purchase,3,2025-11-09 17:22:51.455646+00:00
314,67,view,1,2025-11-09 17:47:51.455646+00:00
360,203,view,1,2025-11-09 17:54:51.455646+00:00
306,241,view,1,2025-11-09 17:56:51.455646+00:00
61,230,view,1,2025-11-09 18:31:51.455646+00:00
170,253,cart,3,2025-11-09 19:19:51.455646+00:00
131,143,view,1,2025-11-09 19:20:51.455646+00:00
183,74,view,1,2025-11-09 19:35:51.455646+00:00
142,112,cart,2,2025-11-09 19:43:51.455646+00:00
26,218,view,1,2025-11-09 19:53:51.455646+00:00
148,264,view,1,2025-11-09 19:59:51.455646+00:00
6,293,view,1,2025-11-09 20:18:51.455646+00:00
296,48,cart,2,2025-11-09 20:21:51.455646+00:00
475,47,view,1,2025-11-09 20:33:51.455646+00:00
222,211,cart,1,2025-11-09 21:15:51.455646+00:00
159,151,purchase,3,2025-11-09 21:16:51.455646+00:00
45,219,view,1,2025-11-09 21:19:51.455646+00:00
349,16,view,1,2025-11-09 21:35:51.455646+00:00
104,136,view,1,2025-11-09 21:37:51.455646+00:00
169,178,view,1,2025-11-09 21:45:51.455646+00:00
172,121,view,1,2025-11-09 21:47:51.455646+00:00
134,73,view,1,2025-11-09 21:58:51.455646+00:00
461,167,view,1,2025-11-09 21:59:51.455646+00:00
387,275,purchase,1,2025-11-09 22:02:51.455646+00:00
207,173,view,1,2025-11-09 22:08:51.455646+00:00
445,153,cart,1,2025-11-09 22:34:51.455646+00:00
143,69,cart,2,2025-11-09 23:18:51.455646+00:00
43,296,cart,2,2025-11-09 23:21:51.455646+00:00
118,59,view,1,2025-11-09 23:36:51.455646+00:00
231,152,cart,1,2025-11-09 23:47:51.455646+00:00
304,175,purchase,1,2025-11-09 23:53:51.455646+00:00
332,248,view,1,2025-11-10 00:16:51.455646+00:00
91,35,view,1,2025-11-10 00:34:51.455646+00:00
479,165,purchase,1,2025-11-10 00:54:51.455646+00:00
434,147,view,1,2025-11-10 00:59:51.455646+00:00
372,218,view,1,2025-11-10 01:01:51.455646+00:00
381,168,view,1,2025-11-10 01:08:51.455646+00:00
279,21,cart,3,2025-11-10 01:13:51.455646+00:00
272,10,cart,3,2025-11-10 01:22:51.455646+00:00
209,108,view,1,2025-11-10 01:22:51.455646+00:00
376,285,view,1,2025-11-10 01:23:51.455646+00:00
218,56,purchase,3,2025-11-10 01:24:51.455646+00:00
37,147,view,1,2025-11-10 01:49:51.455646+00:00
385,20,cart,2,2025-11-10 01:53:51.455646+00:00
374,3,view,1,2025-11-10 01:57:51.455646+00:00
45,238,view,1,2025-11-10 02:28:51.455646+00:00
420,153,purchase,2,2025-11-10 02:39:51.455646+00:00
63,71,purchase,2,2025-11-10 02:58:51.455646+00:00
192,262,view,1,2025-11-10 03:15:51.455646+00:00
57,294,view,1,2025-11-10 03:18:51.455646+00:00
53,88,purchase,3,2025-11-10 03:51:51.455646+00:00
434,216,cart,2,2025-11-10 03:51:51.455646+00:00
494,22,cart,3,2025-11-10 03:56:51.455646+00:00
143,179,purchase,1,2025-11-10 04:04:51.455646+00:00
7,282,purchase,3,2025-11-10 04:26:51.455646+00:00
308,267,view,1,2025-11-10 04:28:51.455646+00:00
127,292,purchase,1,2025-11-10 04:29:51.455646+00:00
439,101,view,1,2025-11-10 04:31:51.455646+00:00
86,154,view,1,2025-11-10 04:38:51.455646+00:00
207,143,view,1,2025-11-10 04:39:51.455646+00:00
38,92,view,1,2025-11-10 04:56:51.455646+00:00
411,190,view,1,2025-11-10 05:02:51.455646+00:00
428,153,view,1,2025-11-10 05:15:51.455646+00:00
14,171,view,1,2025-11-10 06:13:51.455646+00:00
280,180,cart,2,2025-11-10 06:38:51.455646+00:00
471,89,view,1,2025-11-10 06:49:51.455646+00:00
207,63,view,1,2025-11-10 06:59:51.455646+00:00
185,6,view,1,2025-11-10 07:21:51.455646+00:00
4,70,cart,3,2025-11-10 08:05:51.455646+00:00
38,273,view,1,2025-11-10 08:10:51.455646+00:00
398,67,view,1,2025-11-10 08:24:51.455646+00:00
97,275,purchase,2,2025-11-10 08:25:51.455646+00:00
161,220,cart,2,2025-11-10 08:37:51.455646+00:00
228,38,view,1,2025-11-10 08:38:51.455646+00:00
70,32,cart,1,2025-11-10 08:59:51.455646+00:00
175,37,view,1,2025-11-10 09:06:51.455646+00:00
357,66,view,1,2025-11-10 09:08:51.455646+00:00
327,125,view,1,2025-11-10 09:12:51.455646+00:00
366,288,view,1,2025-11-10 09:17:51.455646+00:00
243,196,view,1,2025-11-10 09:20:51.455646+00:00
335,189,view,1,2025-11-10 09:23:51.455646+00:00
212,226,view,1,2025-11-10 09:25:51.455646+00:00
186,243,view,1,2025-11-10 09:28:51.455646+00:00
306,14,view,1,2025-11-10 09:30:51.455646+00:00
320,222,view,1,2025-11-10 09:41:51.455646+00:00
401,133,view,1,2025-11-10 09:43:51.455646+00:00
442,8,view,1,2025-11-10 10:04:51.455646+00:00
403,239,view,1,2025-11-10 10:20:51.455646+00:00
263,43,view,1,2025-11-10 11:13:51.455646+00:00
280,6,view,1,2025-11-10 11:14:51.455646+00:00
25,111,view,1,2025-11-10 11:40:51.455646+00:00
472,103,purchase,1,2025-11-10 11:50:51.455646+00:00
292,186,view,1,2025-11-10 11:55:51.455646+00:00
380,241,view,1,2025-11-10 11:56:51.455646+00:00
242,179,cart,1,2025-11-10 12:22:51.455646+00:00
229,256,view,1,2025-11-10 12:24:51.455646+00:00
378,65,view,1,2025-11-10 12:51:51.455646+00:00
344,107,view,1,2025-11-10 12:59:51.455646+00:00
147,35,cart,1,2025-11-10 13:18:51.455646+00:00
385,272,view,1,2025-11-10 13:36:51.455646+00:00
68,21,view,1,2025-11-10 13:44:51.455646+00:00
253,20,view,1,2025-11-10 13:53:51.455646+00:00
94,282,view,1,2025-11-10 14:18:51.455646+00:00
291,39,view,1,2025-11-10 14:27:51.455646+00:00
180,145,view,1,2025-11-10 14:37:51.455646+00:00
